term,estimate,std.error,statistic,p.value
(Intercept),1.6571638922636136,0.2559456907222571,6.474670027017205,1.400102041073998e-9
Sepal.Length,0.377773406416985,0.0655689716457635,5.761466085786835,4.8675158676018314e-8
Petal.Length,-0.18756658424858366,0.08349289152679253,-2.246497645711483,0.026193731111665938
Petal.Width,0.625710493432477,0.12337631149316194,5.071561030312991,1.1956489684433724e-6
Speciesversicolor,-1.1602852981473337,0.19329449811565058,-6.002681449593667,1.503303661612801e-8
Speciesvirginica,-1.3982548776847719,0.27714617537553127,-5.045189152583995,1.3445322114207097e-6
